TestID;Bars;FinishingType;Machine1;SelectedRule;Filmnumber;Description;Shape;LongFace;ShortFace;DifficultArtwork;Transparant
MF202744-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202744;CV 250 gr;Deksel rechthoekig;108,02;68,88;0;0
MF202744-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202744;CV 250 gr;Deksel rechthoekig;108,02;68,88;0;1
MF202764-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;29;MF202764;Base 365 ml;Banderole ronde pot;269,07;63,58;1;0
MF202764-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF202764;Base 365 ml;Banderole ronde pot;269,07;63,58;1;1
MF202764-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION1;31;MF202764;Base 365 ml;Banderole ronde pot;269,07;63,58;0;0
MF202764-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;27;MF202764;Base 365 ml;Banderole ronde pot;269,07;63,58;0;1
MF202831-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202831;Tub 1L nieuw formaat (Mir Upakovki);Banderole ronde pot;379,04;105,42;1;0
MF202831-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202831;Tub 1L nieuw formaat (Mir Upakovki);Banderole ronde pot;379,04;105,42;1;1
MF202831-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202831;Tub 1L nieuw formaat (Mir Upakovki);Banderole ronde pot;379,04;105,42;0;0
MF202831-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202831;Tub 1L nieuw formaat (Mir Upakovki);Banderole ronde pot;379,04;105,42;0;1
MF202848-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202848;Tecnowerk - Codice 8837 - Coperchio Bombato;Deksel rond;96,5;96,5;1;0
MF202848-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202848;Tecnowerk - Codice 8837 - Coperchio Bombato;Deksel rond;96,5;96,5;1;1
MF202848-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202848;Tecnowerk - Codice 8837 - Coperchio Bombato;Deksel rond;96,5;96,5;0;0
MF202848-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202848;Tecnowerk - Codice 8837 - Coperchio Bombato;Deksel rond;96,5;96,5;0;1
MF202855-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202855;P1422 - IML Tapa Yakisoba / Potito;Deksel rond;68,5;68,5;1;0
MF202855-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202855;P1422 - IML Tapa Yakisoba / Potito;Deksel rond;68,5;68,5;1;1
MF202855-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202855;P1422 - IML Tapa Yakisoba / Potito;Deksel rond;68,5;68,5;0;0
MF202855-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202855;P1422 - IML Tapa Yakisoba / Potito;Deksel rond;68,5;68,5;0;1
MF202858-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF202858;LR5 Lid;Deksel ovaal;199,06;147,34;1;0
MF202858-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF202858;LR5 Lid;Deksel ovaal;199,06;147,34;1;1
MF202858-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF202858;LR5 Lid;Deksel ovaal;199,06;147,34;0;0
MF202858-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF202858;LR5 Lid;Deksel ovaal;199,06;147,34;0;1
MF202864-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202864;5034 - 5134  BASE;Banderole ronde pot;380;68;1;0
MF202864-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202864;5034 - 5134  BASE;Banderole ronde pot;380;68;1;1
MF202864-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202864;5034 - 5134  BASE;Banderole ronde pot;380;68;0;0
MF202864-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF202864;5034 - 5134  BASE;Banderole ronde pot;380;68;0;1
MF202876-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202876;Lid President 500gr rectangular (Marina);Deksel rechthoekig;113;92;1;0
MF202876-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202876;Lid President 500gr rectangular (Marina);Deksel rechthoekig;113;92;1;1
MF202876-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202876;Lid President 500gr rectangular (Marina);Deksel rechthoekig;113;92;0;0
MF202876-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202876;Lid President 500gr rectangular (Marina);Deksel rechthoekig;113;92;0;1
MF202971-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202971;DSCH 150;Deksel rechthoekig;113,14;79,58;1;0
MF202971-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202971;DSCH 150;Deksel rechthoekig;113,14;79,58;1;1
MF202971-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202971;DSCH 150;Deksel rechthoekig;113,14;79,58;0;0
MF202971-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202971;DSCH 150;Deksel rechthoekig;113,14;79,58;0;1
MF202982-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202982;Boden 300 gr - 409 + 245;Deksel ovaal;85,15;62,79;1;0
MF202982-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202982;Boden 300 gr - 409 + 245;Deksel ovaal;85,15;62,79;1;1
MF202982-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202982;Boden 300 gr - 409 + 245;Deksel ovaal;85,15;62,79;0;0
MF202982-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF202982;Boden 300 gr - 409 + 245;Deksel ovaal;85,15;62,79;0;1
MF202984-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202984;DETS 250;Deksel rechthoekig;103,92;78,51;1;0
MF202984-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202984;DETS 250;Deksel rechthoekig;103,92;78,51;1;1
MF202984-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202984;DETS 250;Deksel rechthoekig;103,92;78,51;0;0
MF202984-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF202984;DETS 250;Deksel rechthoekig;103,92;78,51;0;1
MF203047-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF203047;SNACKBOX UNO DECKEL GESTANZT;Deksel rechthoekig;127;78;1;0
MF203047-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF203047;SNACKBOX UNO DECKEL GESTANZT;Deksel rechthoekig;127;78;1;1
MF203047-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF203047;SNACKBOX UNO DECKEL GESTANZT;Deksel rechthoekig;127;78;0;0
MF203047-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;5;MF203047;SNACKBOX UNO DECKEL GESTANZT;Deksel rechthoekig;127;78;0;1
MF203058-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203058;pot 600/116 - RG;Banderole ronde pot;337,4;93,68;1;0
MF203058-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203058;pot 600/116 - RG;Banderole ronde pot;337,4;93,68;1;1
MF203058-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203058;pot 600/116 - RG;Banderole ronde pot;337,4;93,68;0;0
MF203058-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203058;pot 600/116 - RG;Banderole ronde pot;337,4;93,68;0;1
MF203071-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203071;DETB 74;Deksel rond;65,7;65,7;1;0
MF203071-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203071;DETB 74;Deksel rond;65,7;65,7;1;1
MF203071-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203071;DETB 74;Deksel rond;65,7;65,7;0;0
MF203071-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203071;DETB 74;Deksel rond;65,7;65,7;0;1
MF203083-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203083;BASE 1L;Banderole ronde pot;382,03;107,77;1;0
MF203083-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203083;BASE 1L;Banderole ronde pot;382,03;107,77;1;1
MF203083-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203083;BASE 1L;Banderole ronde pot;382,03;107,77;0;0
MF203083-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203083;BASE 1L;Banderole ronde pot;382,03;107,77;0;1
MF203088-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;17;MF203088;7x7 Cookie container lid - Skyflakes Rowell;Deksel rechthoekig;175;175;1;0
MF203088-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF203088;7x7 Cookie container lid - Skyflakes Rowell;Deksel rechthoekig;175;175;1;1
MF203088-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;19;MF203088;7x7 Cookie container lid - Skyflakes Rowell;Deksel rechthoekig;175;175;0;0
MF203088-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;12;MF203088;7x7 Cookie container lid - Skyflakes Rowell;Deksel rechthoekig;175;175;0;1
MF203105-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203105;1,3L Round Container - El Shazly;Banderole ronde pot;376,53;110;1;0
MF203105-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203105;1,3L Round Container - El Shazly;Banderole ronde pot;376,53;110;1;1
MF203105-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203105;1,3L Round Container - El Shazly;Banderole ronde pot;376,53;110;0;0
MF203105-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203105;1,3L Round Container - El Shazly;Banderole ronde pot;376,53;110;0;1
MF203117-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF203117;Eisbär Becher;Driezijdig;211,4;151,7;1;0
MF203117-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203117;Eisbär Becher;Driezijdig;211,4;151,7;1;1
MF203117-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF203117;Eisbär Becher;Driezijdig;211,4;151,7;0;0
MF203117-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203117;Eisbär Becher;Driezijdig;211,4;151,7;0;1
MF203119-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203119;CV 2.5 L;Deksel ovaal;185,37;124,33;1;0
MF203119-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203119;CV 2.5 L;Deksel ovaal;185,37;124,33;1;1
MF203119-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203119;CV 2.5 L;Deksel ovaal;185,37;124,33;0;0
MF203119-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203119;CV 2.5 L;Deksel ovaal;185,37;124,33;0;1
MF203122-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203122;TPS 128-D;Deksel rechthoekig;114,13;114,13;1;0
MF203122-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203122;TPS 128-D;Deksel rechthoekig;114,13;114,13;1;1
MF203122-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203122;TPS 128-D;Deksel rechthoekig;114,13;114,13;0;0
MF203122-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203122;TPS 128-D;Deksel rechthoekig;114,13;114,13;0;1
MF203195-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203195;1kg beker - ATS;Banderole ronde pot;380,52;114;1;0
MF203195-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203195;1kg beker - ATS;Banderole ronde pot;380,52;114;1;1
MF203195-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203195;1kg beker - ATS;Banderole ronde pot;380,52;114;0;0
MF203195-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203195;1kg beker - ATS;Banderole ronde pot;380,52;114;0;1
MF203242-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF203242;Falksalt - big size (Werinova);Banderole ronde pot;229,36;123,96;1;0
MF203242-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203242;Falksalt - big size (Werinova);Banderole ronde pot;229,36;123,96;1;1
MF203242-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF203242;Falksalt - big size (Werinova);Banderole ronde pot;229,36;123,96;0;0
MF203242-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203242;Falksalt - big size (Werinova);Banderole ronde pot;229,36;123,96;0;1
MF203243-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203243;Falksalt - small size (Werinova);Banderole ronde pot;163,27;68,78;1;0
MF203243-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203243;Falksalt - small size (Werinova);Banderole ronde pot;163,27;68,78;1;1
MF203243-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203243;Falksalt - small size (Werinova);Banderole ronde pot;163,27;68,78;0;0
MF203243-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203243;Falksalt - small size (Werinova);Banderole ronde pot;163,27;68,78;0;1
MF203244-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203244;P118 Envase Ø 122 - 800ml;Banderole ronde pot;357,35;83,8;1;0
MF203244-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203244;P118 Envase Ø 122 - 800ml;Banderole ronde pot;357,35;83,8;1;1
MF203244-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203244;P118 Envase Ø 122 - 800ml;Banderole ronde pot;357,35;83,8;0;0
MF203244-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203244;P118 Envase Ø 122 - 800ml;Banderole ronde pot;357,35;83,8;0;1
MF203281-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203281;IJSPALEIS LID OVAL;Deksel ovaal;177,45;110,18;1;0
MF203281-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203281;IJSPALEIS LID OVAL;Deksel ovaal;177,45;110,18;1;1
MF203281-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203281;IJSPALEIS LID OVAL;Deksel ovaal;177,45;110,18;0;0
MF203281-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203281;IJSPALEIS LID OVAL;Deksel ovaal;177,45;110,18;0;1
MF203313-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203313;KROGER 48 oZ LID-Berry;Deksel ovaal;170,91;108,21;1;0
MF203313-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203313;KROGER 48 oZ LID-Berry;Deksel ovaal;170,91;108,21;1;1
MF203313-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203313;KROGER 48 oZ LID-Berry;Deksel ovaal;170,91;108,21;0;0
MF203313-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203313;KROGER 48 oZ LID-Berry;Deksel ovaal;170,91;108,21;0;1
MF203328-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203328;Remia tool 8582 with window;Unknown;283,42;94,04;1;0
MF203328-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203328;Remia tool 8582 with window;Unknown;283,42;94,04;1;1
MF203328-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203328;Remia tool 8582 with window;Unknown;283,42;94,04;0;0
MF203328-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203328;Remia tool 8582 with window;Unknown;283,42;94,04;0;1
MF203358-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203358;SC 109-650 beker;Banderole ronde pot;306;80,79;1;0
MF203358-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203358;SC 109-650 beker;Banderole ronde pot;306;80,79;1;1
MF203358-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203358;SC 109-650 beker;Banderole ronde pot;306;80,79;0;0
MF203358-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203358;SC 109-650 beker;Banderole ronde pot;306;80,79;0;1
MF203361-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203361;JOL 1,62 = JOL 1.62_F 1665;Deksel ovaal;166,57;124,36;1;0
MF203361-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203361;JOL 1,62 = JOL 1.62_F 1665;Deksel ovaal;166,57;124,36;1;1
MF203361-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203361;JOL 1,62 = JOL 1.62_F 1665;Deksel ovaal;166,57;124,36;0;0
MF203361-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203361;JOL 1,62 = JOL 1.62_F 1665;Deksel ovaal;166,57;124,36;0;1
MF203399-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203399;Diam 83.5 mm = 10665 / 5930 LID - 10635;Deksel rond;83,5;83,5;1;0
MF203399-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203399;Diam 83.5 mm = 10665 / 5930 LID - 10635;Deksel rond;83,5;83,5;1;1
MF203399-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203399;Diam 83.5 mm = 10665 / 5930 LID - 10635;Deksel rond;83,5;83,5;0;0
MF203399-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;2;MF203399;Diam 83.5 mm = 10665 / 5930 LID - 10635;Deksel rond;83,5;83,5;0;1
MF203427-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203427;Label rond 63.5mm;Deksel rond;63,5;63,5;1;0
MF203427-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203427;Label rond 63.5mm;Deksel rond;63,5;63,5;1;1
MF203427-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203427;Label rond 63.5mm;Deksel rond;63,5;63,5;0;0
MF203427-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203427;Label rond 63.5mm;Deksel rond;63,5;63,5;0;1
MF203435-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203435;2048 - 1000ml Base;Banderole ronde pot;356,7;105,3;1;0
MF203435-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203435;2048 - 1000ml Base;Banderole ronde pot;356,7;105,3;1;1
MF203435-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203435;2048 - 1000ml Base;Banderole ronde pot;356,7;105,3;0;0
MF203435-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203435;2048 - 1000ml Base;Banderole ronde pot;356,7;105,3;0;1
MF203459-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203459;1,2L Eimerlabel - Wolf Plastics - EZ0103;Banderole ronde pot;378,74;109;1;0
MF203459-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203459;1,2L Eimerlabel - Wolf Plastics - EZ0103;Banderole ronde pot;378,74;109;1;1
MF203459-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203459;1,2L Eimerlabel - Wolf Plastics - EZ0103;Banderole ronde pot;378,74;109;0;0
MF203459-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203459;1,2L Eimerlabel - Wolf Plastics - EZ0103;Banderole ronde pot;378,74;109;0;1
MF203525-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203525;TPS079-125 & TPS079-150 Bodemlabel;Deksel rechthoekig;53;53;1;0
MF203525-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203525;TPS079-125 & TPS079-150 Bodemlabel;Deksel rechthoekig;53;53;1;1
MF203525-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203525;TPS079-125 & TPS079-150 Bodemlabel;Deksel rechthoekig;53;53;0;0
MF203525-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;1;MF203525;TPS079-125 & TPS079-150 Bodemlabel;Deksel rechthoekig;53;53;0;1
MF203529-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;15;MF203529;6310 LID;Driezijdig;183,57;76,28;1;0
MF203529-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;10;MF203529;6310 LID;Driezijdig;183,57;76,28;1;1
MF203529-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;15;MF203529;6310 LID;Driezijdig;183,57;76,28;0;0
MF203529-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_VISION2;10;MF203529;6310 LID;Driezijdig;183,57;76,28;0;1
MF203534-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;16;MF203534;8218 BUKO/ARLA test 0.3  250G;Vijfzijdig;171,9;139,7;1;0
MF203534-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203534;8218 BUKO/ARLA test 0.3  250G;Vijfzijdig;171,9;139,7;1;1
MF203534-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION2;18;MF203534;8218 BUKO/ARLA test 0.3  250G;Vijfzijdig;171,9;139,7;0;0
MF203534-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;11;MF203534;8218 BUKO/ARLA test 0.3  250G;Vijfzijdig;171,9;139,7;0;1
MF203539-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203539;ZIELONABUDKA 500ML TUB;Banderole ronde pot;308,53;83,72;1;0
MF203539-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203539;ZIELONABUDKA 500ML TUB;Banderole ronde pot;308,53;83,72;1;1
MF203539-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203539;ZIELONABUDKA 500ML TUB;Banderole ronde pot;308,53;83,72;0;0
MF203539-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_MERCO;33;MF203539;ZIELONABUDKA 500ML TUB;Banderole ronde pot;308,53;83,72;0;1
MF203543-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203543;FUNGERS deksel200-250gr - Form 358;Deksel rechthoekig;124,16;98,76;1;0
MF203543-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203543;FUNGERS deksel200-250gr - Form 358;Deksel rechthoekig;124,16;98,76;1;1
MF203543-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203543;FUNGERS deksel200-250gr - Form 358;Deksel rechthoekig;124,16;98,76;0;0
MF203543-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203543;FUNGERS deksel200-250gr - Form 358;Deksel rechthoekig;124,16;98,76;0;1
MF203547-Difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF203547;FUNGERS NORD beker 250gr;Vijfzijdig margarine;148,96;91,7;1;0
MF203547-Difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF203547;FUNGERS NORD beker 250gr;Vijfzijdig margarine;148,96;91,7;1;1
MF203547-NOT difficult artwork-NOT Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF203547;FUNGERS NORD beker 250gr;Vijfzijdig margarine;148,96;91,7;0;0
MF203547-NOT difficult artwork-Transparent;moet met 2;Stansen;G_STANS_VISION2;6;MF203547;FUNGERS NORD beker 250gr;Vijfzijdig margarine;148,96;91,7;0;1
MF203553-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203553;Locketikett Diana;Deksel rechthoekig;113,7;78,5;1;0
MF203553-Difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203553;Locketikett Diana;Deksel rechthoekig;113,7;78,5;1;1
MF203553-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203553;Locketikett Diana;Deksel rechthoekig;113,7;78,5;0;0
MF203553-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203553;Locketikett Diana;Deksel rechthoekig;113,7;78,5;0;1
MF203559-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;23;MF203559;New lid label - Marka Pac;Deksel rechthoekig;208,11;146,11;1;0
MF203559-Difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203559;New lid label - Marka Pac;Deksel rechthoekig;208,11;146,11;1;1
MF203559-NOT difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANS_VISION1;25;MF203559;New lid label - Marka Pac;Deksel rechthoekig;208,11;146,11;0;0
MF203559-NOT difficult artwork-Transparent;1 of 2;Stansen;G_STANS_MERCO;21;MF203559;New lid label - Marka Pac;Deksel rechthoekig;208,11;146,11;0;1
MF203560-Difficult artwork-NOT Transparent;1 of 2;Stansen;G_STANSSTRAAT;3;MF203560;CVD002 - Europlastiques;Deksel diverse;124,3;79,08;1;0
